bright,harsh,nasal,compact,plucked,percussive,varying
0.9,,,,,,
,0.15,,,,,
,,,0.8,,,
,,,,0.85,,
,,,,,,0.8
0.3,0.8,,,,,
,,0.7,0.8,,,
0.2,,,,,0.9,
,0.7,,0.4,,,
,,0.6,,0.5,,
0.3,,,0.9,,,0.1
0.8,0.7,,,0.75,,
,0.8,,0.3,,,0.6
0.7,0.6,,,,0.8,
0.8,0.5,,0.25,0.8,,
0.6,,0.8,0.7,,,0.7
0.4,0.9,,0.2,0.6,,
0.2,0.0,0.5,0.8,,,
,0.5,,,0.4,0.2,0.95
0.2,0.1,0.9,0.8,,,0.2
0.85,0.4,,0.3,0.6,,0.7
0.5,,0.6,0.7,0.5,,0.4
,0.8,,0.15,0.6,0.7,0.9
0.3,0.15,,0.85,,0.1,0.1
0.75,0.25,0.0,0.65,0.45,0.0,
,0.65,0.1,0.45,0.4,0.6,0.35
0.35,0.15,,0.8,0.75,0.9,0.4
0.8,0.2,0.5,0.9,0.8,,0.2
,0.3,0.5,0.6,0.3,0.2,0.6
0.1,0.6,0.1,0.7,0.5,0.4,0.6
0.9,0.2,0.7,0.8,0.7,0.5,0.4
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4,0.6,0.3,0.7,0.2,0.8,0.8
0.3,0.4,0.5,0.6,0.7,0.8,0.9
,,,,,,0.1
,,,,,0.85,
,,,0.1,,,
,,0.6,,,,
,0.85,,,,,
0.1,,,,,,
0.8,,,,,0.8,
,0.1,,,,,0.8
,,,0.6,0.7,,
0.3,,0.5,,,,
,0.8,,0.25,,,
